"","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119"
"739",-1.99,-1.87,-0.32,0.57,0.92,0.99,0.86,0.32,-0.17,-0.63,-0.76,0.04,0.46,0.59,0.42,0.46,0.3,-0.19
"740",-0.48,-0.57,-0.51,-0.24,0.14,-0.1,0.58,0.06,0.07,0.04,-0.12,-0.08,0.14,0.02,0.27,0.02,0.14,0.6
"741",-0.04,-0.05,0.03,-0.42,0.04,0.17,0.3,0.11,0.12,-0.09,-0.48,-0.11,0.11,0.04,-0.11,0.14,0.14,0.08
"742",-0.87,-0.63,-1.31,-0.98,-0.75,-0.07,0.58,0.82,1.13,0.33,-0.04,-0.22,-0.48,-0.14,0.15,0.6,0.99,0.89
"743",-0.59,0.14,1.13,1.2,0.63,-0.04,-0.42,-0.61,-0.96,-0.4,0.36,0.72,0.3,-0.01,0.1,-0.54,-0.46,-0.57
"744",-0.74,-0.84,-0.56,-0.69,-0.22,0.41,0.54,0.6,0.4,0.37,-0.04,-0.29,-0.3,-0.15,0.16,0.23,0.48,0.64
"745",-1.16,-1.38,-1.65,-0.01,-0.55,-0.85,-0.91,-0.85,0.23,2.01,2.1,1.65,0.92,0.3,-0.55,-0.23,-0.2,1.15
"746",-2.42,-2.15,0.66,1.98,1.55,0.78,0.14,-0.94,-1.03,-1.5,-0.03,1.25,1.61,0.84,0.82,-0.09,-0.48,-0.97
"747",-0.09,-0.02,0.14,-0.32,0.05,-0.05,0.1,0.1,0.11,-0.09,0.17,-0.24,-0.02,-0.26,0.17,-0.12,0.16,0.2
"748",-0.25,-0.18,0.12,0.73,0.23,0.07,0.17,-0.46,-0.25,-0.31,0.03,0.49,0.37,0.03,-0.12,-0.01,-0.36,-0.29
"749",-0.41,-0.54,0.49,0.38,0.01,0.33,0.1,0.07,-0.07,-0.26,-0.01,-0.01,0.05,-0.22,0.18,0.01,-0.02,-0.09
"750",-0.35,-0.57,1.05,0.86,0.38,0.59,0.12,-0.58,-0.48,-0.38,0.33,0.54,0.26,-0.41,-0.12,-0.35,-0.41,-0.5
"751",0.22,-0.05,-0.11,0.04,0.04,-0.04,0.01,-0.03,-0.29,-0.04,0.13,0.5,0.19,-0.19,-0.13,-0.29,-0.03,-0.02
"752",-0.37,-0.79,0.48,0.44,0.34,0.39,0.06,0.02,0.01,-0.46,0.05,0.1,0.22,-0.18,0.13,-0.21,-0.24,0.01
"753",-0.94,-0.54,-0.78,-0.74,-1.13,-0.68,0.36,0.56,1.16,0.78,0.43,0.14,-0.19,-0.42,0.09,0.42,0.55,0.94
"754",-0.18,0.71,-0.08,0.03,0.44,0.08,0.75,-0.05,-0.08,-0.54,-0.46,-0.43,-0.29,-0.19,0.26,-0.27,0.22,0.05
"755",-0.69,-0.38,-0.01,-0.04,0.46,0.37,0.08,0.39,0.06,-0.32,-0.67,-0.14,-0.09,0.09,0.37,0.33,0.32,-0.14
"759",-1.12,0.21,1.03,0.52,0.42,-0.32,-0.02,0.27,0.33,0.03,0.03,-0.4,-0.34,-0.44,0.06,-0.25,0.2,-0.22
"761",-0.58,-0.05,-0.25,-0.35,0.1,0.09,0.36,0.07,-0.1,-0.58,-0.61,-0.04,0.3,0.17,0.3,0.17,0.32,0.64
"762",0.15,0.2,0.68,-0.14,-0.11,0.2,0.98,0,0.06,-0.29,-0.17,-0.3,-0.43,-0.6,-0.27,0.12,-0.01,-0.07
"763",-0.35,-0.45,0.93,0.61,0.06,-0.24,-0.22,-0.62,-0.2,0.02,0.69,0.75,0.23,-0.3,-0.08,-0.25,-0.25,-0.3
"764",0.2,-0.14,-0.16,-0.12,0.03,-0.1,0.2,-0.08,0.07,-0.04,-0.28,-0.12,-0.08,-0.02,0.03,-0.26,0.1,0.76
"765",0.3,-0.18,-0.02,-0.2,0.14,0.23,0.08,-0.07,-0.07,-0.04,-0.39,-0.05,0.1,-0.07,-0.07,0.1,-0.2,0.4
"766",-0.36,-0.05,0.6,0.63,0.28,-0.05,-0.04,-0.42,-0.2,-0.18,0.15,0.3,0.21,-0.36,-0.07,-0.04,-0.38,-0.09
"767",-0.31,1.32,0.18,0.01,-0.82,-1.01,-0.53,-0.5,0.35,0.7,0.56,0.66,0.07,-0.47,-0.65,-0.04,0.01,0.5
"768",-0.12,-0.77,-0.25,-0.54,0.35,0.37,0.54,0,0.05,-0.23,-0.18,-0.05,0.01,-0.06,0.32,0.17,0.34,0.06
"769",-0.08,0.43,0,0,-0.32,0.07,0.2,-0.08,0.18,0.24,-0.37,-0.06,-0.04,-0.12,-0.25,-0.04,0.05,0.21
"770",-0.01,0.13,0.09,0.64,0.06,0.34,0.35,-0.1,-0.17,-0.33,-0.35,0.01,0.18,0.15,0.02,-0.12,-0.63,-0.26
"771",-0.02,-0.11,0.16,0.51,0.22,0.39,0.22,-0.14,-0.2,-0.44,-0.09,-0.07,0.11,-0.18,0.22,-0.08,-0.07,-0.42
"772",-0.45,-0.05,-0.65,-0.38,0.12,0.58,0.2,-0.16,-0.45,-0.76,-0.33,0.26,0.58,0.3,0.66,0.07,0.51,-0.11
"773",-0.02,0.12,-0.04,-0.26,0.04,0.22,0.28,-0.02,-0.19,-0.44,-0.44,-0.13,0.14,-0.13,0.22,-0.15,0.39,0.41
"775",-2.36,-0.05,-1.96,-2.29,-1.36,0.4,1.09,1.54,1.5,0.92,0.05,-0.23,-0.42,-0.29,0.12,0.73,1.35,1.2
"776",-0.98,-0.38,0.92,0.97,0.26,-0.09,-0.18,-0.4,-0.35,-0.33,0.7,0.61,0.31,-0.23,0.1,-0.2,-0.21,-0.5
"777",-0.3,-0.42,0.16,-0.07,0.15,0.44,0.3,0.3,0.24,-0.14,0.04,-0.31,-0.2,-0.4,0.13,-0.11,0.23,-0.04
"778",-0.39,-0.6,0.8,1.28,0.67,0.04,-0.29,-0.62,-0.6,-0.67,0.29,0.73,0.6,-0.12,-0.01,-0.29,-0.25,-0.55
"779",-0.26,-0.69,0.01,0.01,0.1,0.48,-0.01,0.11,-0.07,-0.19,0.13,-0.09,0.08,-0.15,0.31,-0.09,0.46,-0.11
"781",-1.98,-0.61,-0.08,-0.93,-0.61,-0.88,0.66,0.52,1.44,0.85,0.63,-0.39,-0.14,-0.7,0.24,-0.06,1.15,0.89
"783",0.09,-0.68,-0.71,-1.86,-1.07,-0.71,0.55,0.57,1.51,0.89,0.49,-0.09,-0.34,-0.83,0.04,0.12,1.29,0.76
"784",0.6,0.34,-0.05,-0.46,0.1,-0.34,-0.09,0,0.44,0.24,0.02,-0.07,-0.44,-0.38,-0.01,-0.38,0.21,0.28
"785",0.17,0.16,0.17,0.38,0.47,-0.07,0.04,0,-0.3,-0.31,-0.1,-0.22,-0.03,-0.27,0.2,0,-0.23,-0.06
"786",0,1.22,1.81,1.38,0.68,-0.13,-0.23,-0.41,-0.44,-0.5,-0.41,-0.48,-0.28,-0.5,0.06,-0.42,-0.74,-0.58
"787",0.07,0.38,0,-0.08,0.03,0.1,0.26,0.09,0.27,0,0.03,-0.1,-0.26,-0.48,-0.02,-0.08,0.02,-0.21
"788",-0.24,-0.4,0.97,0.62,0.6,-0.11,-0.04,-0.7,-0.4,-0.24,0.25,0.3,0.46,-0.13,-0.06,-0.31,-0.33,-0.24
"789",-0.41,-0.57,1.15,0.69,0.61,0,-0.22,-0.5,-0.43,-0.33,0.22,0.64,0.42,-0.09,-0.03,-0.5,-0.08,-0.57
"790",-0.79,-0.25,1.18,0.84,0.19,-0.11,-0.42,-0.56,-0.36,-0.12,0.68,0.8,0.08,-0.24,-0.14,-0.27,-0.32,-0.19
"791",-0.68,-0.19,1.23,0.84,0.14,-0.44,-0.44,-0.75,-0.26,-0.06,0.63,0.98,0.07,-0.24,-0.35,-0.22,-0.33,0.08
"792",-0.37,-0.48,0.97,0.52,0.18,-0.11,-0.2,-0.53,-0.24,-0.04,0.4,0.62,0.27,-0.31,-0.11,-0.2,-0.09,-0.27
